,23-21R,23-21L,23-27R,23-27L
cp_brch,1,1,1,1
mid12_brch,1,1,1,2
mid10_brch,1,1,1,2
mid_brch,2,2,4,4
tip_brch,2,2,3,2
leg_length,33.3,33.4,36,36.4
width_mm,35.3,35.6,36,36.6
tip_mid,17.2,12.4,24.2,23
tip_sn1,38.3,12.5,18.2,19.2
tip_sn2,32.5,13.3,12,15.4
tip_sn3,Nmb,NaN,4.8,Nmb
tip_sn4,NaN,NaN,Nmb,Nmb
tip_sn_tk1,1.1,1.5,2.1,1.2
tip_sn_tk2,1.2,1.6,1.1,2
tip_sn_tk3,Nmb,NaN,1.9,Nmb
tip_sn_tk4,NaN,NaN,Nmb,Nmb
mid_sn1,5.2,-13.5,-4,-6.9
mid_sn2,0,-15.6,-10.4,-10.1
mid_sn3,NaN,NaN,-16.5,-20
mid_sn4,NaN,NaN,-23.1,-20.2
mid_sn_tk_1,1.2,1.8,1,1.6
mid_sn_tk_2,2,1.6,1.5,2
mid_sn_tk_3,NaN,NaN,1.8,1.2
mid_sn_tk_4,NaN,NaN,1.3,1.2
mid10_sn1,-11.8,-6,-1.2,-5.5
mid10_sn2,NaN,NaN,NaN,-3.4
mid10_sn3,NaN,NaN,NaN,NaN
mid10_sn4,NaN,NaN,NaN,NaN
mid10_sn_tk1,1.6,1.4,1.6,0.6
mid10_sn_tk2,NaN,NaN,NaN,0.8
mid10_sn_tk3,NaN,NaN,NaN,NaN
mid10_sn_tk4,NaN,NaN,NaN,NaN
mid12_sn1,-4.2,-3.8,1,-3
mid12_sn2,NaN,NaN,NaN,-1.2
mid12_sn3,NaN,NaN,NaN,NaN
mid12_sn4,NaN,NaN,NaN,NaN
mid12_sn_tk1,1.5,1.8,1.8,0.8
mid12_sn_tk2,NaN,NaN,NaN,1
mid12_sn_tk3,NaN,NaN,NaN,NaN
mid12_sn_tk4,NaN,NaN,NaN,NaN
tip_bp,1.9,5.72,10.8,14.6
tip_cp,15.7,23.6,13.5,16.1
sn_sfn_ana,0,0,0,0
